Device_Vendor,Device_Product,Device_Action,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Country_Src,Bytes_TRF
McAfee,NSP,Attempt,223.70.128.61,32.73.26.223,135,20000,TCP,Netherlands,160
CISCO,ASA,Failure,174.110.206.174,219.142.109.8,80,25,UDP,China,0
IBM,SNIPS,Success,174.110.206.174,145.114.4.203,80,593,TCP,Korea,51
McAfee,NSP,Success,227.12.127.87,151.194.233.198,21,25,UDP,Russia,552
Juniper,SRX,Success,28.9.24.154,145.114.4.203,135,90,TCP,Korea,0
McAfee,NSP,Success,28.9.24.154,145.114.4.203,80,25,UDP,Netherlands,120
McAfee,NSP,Attempt,28.9.24.154,56.137.121.203,80,25,UDP,Russia,220
McAfee,ePO,Attempt,223.70.128.61,151.194.233.198,25,20000,UDP,India,0
McAfee,ePO,Attempt,174.110.206.174,151.194.233.198,25,593,UDP,Russia,0
CISCO,ASA,Attempt,227.12.127.87,56.137.121.203,25,90,TCP,Russia,0
Juniper,SRX,Attempt,227.12.127.87,56.137.121.203,21,90,TCP,Russia,85
Juniper,SRX,Failure,223.70.128.61,219.142.109.8,21,90,UDP,Korea,266
McAfee,ePO,Success,223.70.128.61,56.137.121.203,25,90,UDP,United Kingdom,176
McAfee,ePO,Success,223.70.128.61,145.114.4.203,135,20000,UDP,China,200
Juniper,SRX,Success,174.110.206.174,219.142.109.8,25,90,UDP,Netherlands,168
Palo Alto Networks,Firewall,Attempt,223.70.128.61,32.73.26.223,25,80,TCP,US,175
IBM,SNIPS,Attempt,174.110.206.174,219.142.109.8,25,20000,UDP,India,255
Palo Alto Networks,Firewall,Failure,227.12.127.87,151.194.233.198,25,20000,UDP,Korea,361
IBM,SNIPS,Attempt,223.70.128.61,151.194.233.198,80,25,UDP,Russia,0
Juniper,SRX,Success,227.12.127.87,56.137.121.203,113,80,UDP,India,102
Juniper,SRX,Attempt,174.110.206.174,219.142.109.8,21,593,UDP,United Kingdom,0
IBM,SNIPS,Success,174.110.206.174,151.194.233.198,21,25,TCP,Korea,160
McAfee,ePO,Success,28.9.24.154,32.73.26.223,25,20000,TCP,India,144
IBM,SNIPS,Success,89.130.69.91,219.142.109.8,21,20000,UDP,India,70
McAfee,ePO,Failure,89.130.69.91,32.73.26.223,25,593,TCP,Russia,0
IBM,SNIPS,Success,223.70.128.61,151.194.233.198,80,25,UDP,Russia,112
IBM,SNIPS,Failure,28.9.24.154,151.194.233.198,135,25,UDP,Russia,0
Juniper,SRX,Failure,227.12.127.87,219.142.109.8,135,90,UDP,US,0
CISCO,ASA,Attempt,223.70.128.61,56.137.121.203,135,80,TCP,Netherlands,144
CISCO,ASA,Attempt,223.70.128.61,32.73.26.223,80,593,UDP,Korea,528
Juniper,SRX,Failure,227.12.127.87,151.194.233.198,80,90,UDP,United Kingdom,120
CISCO,ASA,Success,28.9.24.154,32.73.26.223,25,20000,TCP,China,0
McAfee,ePO,Success,174.110.206.174,32.73.26.223,113,80,TCP,China,70
CISCO,ASA,Failure,227.12.127.87,219.142.109.8,21,80,UDP,China,0
Juniper,SRX,Success,227.12.127.87,219.142.109.8,25,593,TCP,US,224
CISCO,ASA,Failure,28.9.24.154,219.142.109.8,113,90,TCP,China,552
CISCO,ASA,Failure,89.130.69.91,145.114.4.203,21,20000,TCP,China,64
Palo Alto Networks,Firewall,Failure,174.110.206.174,145.114.4.203,113,90,TCP,Netherlands,320
IBM,SNIPS,Success,174.110.206.174,151.194.233.198,21,593,TCP,United Kingdom,0
CISCO,ASA,Success,89.130.69.91,145.114.4.203,80,80,UDP,United Kingdom,210
Palo Alto Networks,Firewall,Failure,227.12.127.87,32.73.26.223,113,80,UDP,Russia,220
IBM,SNIPS,Attempt,227.12.127.87,56.137.121.203,135,593,UDP,China,0
McAfee,NSP,Success,28.9.24.154,151.194.233.198,21,80,UDP,US,0
McAfee,NSP,Failure,223.70.128.61,56.137.121.203,113,80,TCP,Russia,60
CISCO,ASA,Attempt,227.12.127.87,145.114.4.203,113,25,UDP,China,238
Juniper,SRX,Attempt,89.130.69.91,32.73.26.223,21,90,TCP,India,0
Palo Alto Networks,Firewall,Success,223.70.128.61,56.137.121.203,21,90,TCP,India,300
CISCO,ASA,Success,28.9.24.154,145.114.4.203,25,25,TCP,Korea,90
